time,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
892,117.80339,117.78291,117.76245,117.74198,117.64197,117.33565,117.29983,117.40335,117.51506,117.531845,117.54753,117.3051,117.41682,117.47181,117.413124,117.34927,117.04296,117.00714,116.97132,117.17283,117.231995,117.24768,117.22722,117.20675,117.18628
892dn,117.77107,117.75061,117.73014,117.70967,117.59622,117.24169,117.20587,117.33332,117.469315,117.49309,117.51523,117.23508,117.37107,117.43949,117.374374,117.30353,116.949005,116.913185,116.87737,117.11953,117.19324,117.21538,117.194916,117.17444,117.15398
893,106.77378,106.75332,106.73284,106.71238,106.60036,106.25148,106.21566,106.34023,106.47346,106.496475,106.51794,106.24199,106.37521,106.4422,106.37776,106.30767,105.958786,105.922966,105.887146,106.12452,106.19662,106.21809,106.19761,106.17715,106.15668
893dn,106.76649,106.746025,106.72555,106.705086,106.58992,106.229576,106.19376,106.32405,106.46302,106.48768,106.51064,106.22581,106.36478,106.434906,106.36896,106.29723,105.93688,105.90107,105.86525,106.112305,106.18783,106.21079,106.19032,106.16985,106.14938
894,108.62994,108.609474,108.58901,108.568535,108.39836,107.843575,107.807755,108.03415,108.27147,108.3247,108.37409,107.935905,108.173225,108.29837,108.205986,108.105675,107.55089,107.51507,107.479256,107.89005,108.02484,108.07424,108.05378,108.0333,108.01284
894dn,108.57004,108.54956,108.5291,108.50863,108.313416,107.66867,107.63284,107.90393,108.186516,108.25279,108.31418,107.80568,108.08827,108.23846,108.13407,108.02073,107.37598,107.34016,107.30434,107.79103,107.95294,108.01433,107.993866,107.9734,107.95293
895,108.6945,108.67404,108.653564,108.6331,108.490005,108.03274,107.99692,108.174835,108.363106,108.40223,108.43866,108.076584,108.26486,108.36292,108.283516,108.19731,107.74005,107.70423,107.6684,107.996925,108.10238,108.13881,108.11833,108.09787,108.07739
895dn,108.64266,108.62219,108.60173,108.58126,108.416176,107.87935,107.84353,108.06105,108.28928,108.33987,108.38682,107.96281,108.19103,108.31108,108.22115,108.12349,107.58666,107.55084,107.51502,107.910706,108.04001,108.08696,108.0665,108.04602,108.02556
896,113.755035,113.734566,113.7141,113.69363,113.57403,113.19829,113.16247,113.30033,113.44713,113.47409,113.49918,113.20209,113.348885,113.42346,113.35537,113.281334,112.9056,112.86978,112.83397,113.093956,113.174225,113.19933,113.17887,113.158394,113.13793
896dn,113.75363,113.73316,113.7127,113.69223,113.57206,113.194336,113.15852,113.29736,113.44516,113.47241,113.49779,113.19912,113.34692,113.42205,113.3537,113.27937,112.90165,112.86584,112.83002,113.091675,113.17256,113.19793,113.17747,113.157,113.13653
